sno	Collected_Protein_name	Uniprot_Name	Uniprot_ID	Approved_Symbol	Gene_Identifier	Approved_Protein_Name	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
1125	LAMC2	LAMC2_HUMAN	Q13753	LAMC2	HGNC:6493	Laminin subunit gamma-2	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1126	CAT	CATA_HUMAN	P04040	CAT	HGNC:1516	Catalase	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1127	FN1	FINC_HUMAN	P02751	FN1	HGNC:3778	Fibronectin	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1128	GNS	GNS_HUMAN	P15586	GNS	HGNC:4422	N-acetylglucosamine-6-sulfatase	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1129	TGM2	TGM2_HUMAN	P21980	TGM2	HGNC:11778	Protein-glutamine gamma-glutamyltransferase 2	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1130	INS	INS_HUMAN	P01308	INS	HGNC:6081	Insulin	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1131	INS-IGF2	INSR2_HUMAN	F8WCM5	INS-IGF2	HGNC:33527	Insulin, isoform 2	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1132	ALDH1A1	AL1A1_HUMAN	P00352	ALDH1A1	HGNC:402	Aldehyde dehydrogenase 1A1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1133	SQSTM1	SQSTM_HUMAN	Q13501	SQSTM1	HGNC:11280	Sequestosome-1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1134	COPG1	COPG1_HUMAN	Q9Y678	COPG1	HGNC:2236	Coatomer subunit gamma-1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1135	UCHL1	UCHL1_HUMAN	P09936	UCHL1	HGNC:12513	Ubiquitin carboxyl-terminal hydrolase isozyme L1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1136	SERPINE2	GDN_HUMAN	P07093	SERPINE2	HGNC:8951	Glia-derived nexin	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1137	Macro H2A1	H2AY_HUMAN	O75367	MACROH2A1	HGNC:4740	Core histone macro-H2A.1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1138	Beta-galactosidase	BGAL_HUMAN	P16278	GLB1	HGNC:4298	Beta-galactosidase	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	168	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1139	HIST2H2BE	H2B2E_HUMAN	Q16778	H2BC21	HGNC:4760	Histone H2B type 2-E	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1140	RPS13	RS13_HUMAN	P62277	RPS13	HGNC:10386	40S ribosomal protein S13	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1141	HIST1H2BM	H2B1M_HUMAN	Q99879	H2BC14	HGNC:4750	Histone H2B type 1-M	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1142	PDIA6	PDIA6_HUMAN	Q15084	PDIA6	HGNC:30168	Protein disulfide-isomerase A6	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1143	ERP29	ERP29_HUMAN	P30040	ERP29	HGNC:13799	Endoplasmic reticulum resident protein 29	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1144	EGFR	EGFR_HUMAN	P00533	EGFR	HGNC:3236	Epidermal growth factor receptor	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1145	TNC	TENA_HUMAN	P24821	TNC	HGNC:5318	Tenascin	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1146	EVPL	EVPL_HUMAN	Q92817	EVPL	HGNC:3503	Envoplakin	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1147	SPATS2L	SPS2L_HUMAN	Q9NUQ6	SPATS2L	HGNC:24574	SPATS2-like protein	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1148	HYOU1	HYOU1_HUMAN	Q9Y4L1	HYOU1	HGNC:16931	Hypoxia up-regulated protein 1	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1149	MT1E	MT1E_HUMAN	P04732	MT1E	HGNC:7397	Metallothionein-1E	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1150	CTNNB1	CTNB1_HUMAN	P35222	CTNNB1	HGNC:2514	Catenin beta-1	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1151	IRF6	IRF6_HUMAN	O14896	IRF6	HGNC:6121	Interferon regulatory factor 6	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1152	TUBA4A	TBA4A_HUMAN	P68366	TUBA4A	HGNC:12407	Tubulin alpha-4A chain	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1153	TNPO1	TNPO1_HUMAN	Q92973	TNPO1	HGNC:6401	Transportin-1	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1154	AAMP	AAMP_HUMAN	Q13685	AAMP	HGNC:18	Angio-associated migratory cell protein	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1155	ANLN	ANLN_HUMAN	Q9NQW6	ANLN	HGNC:14082	Anillin	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1156	SOX15	SOX15_HUMAN	O60248	SOX15	HGNC:11196	Protein SOX-15	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1157	SPRR1B	SPR1B_HUMAN	P22528	SPRR1B	HGNC:11260	Cornifin-B	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1158	GDI1	GDIA_HUMAN	P31150	GDI1	HGNC:4226	Rab GDP dissociation inhibitor alpha	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1159	HSPA2	HSP72_HUMAN	P54652	HSPA2	HGNC:5235	Heat shock-related 70 kDa protein 2	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1160	CLUH	CLU_HUMAN	O75153	CLUH	HGNC:29094	Clustered mitochondria protein homolog	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1161	MARCKSL1	P49006	P49006	MARCKSL1	HGNC:7142	MARCKS-related protein	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1162	RAB1B	RAB1B_HUMAN	Q9H0U4	RAB1B	HGNC:18370	Ras-related protein Rab-1B	Human	Protein	34857819	Homo sapiens				HaCaT		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1163	TGFBI	BGH3_HUMAN	Q15582	TGFBI	HGNC:11771	Transforming growth factor-beta-induced protein ig-h3	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1164	CLSTN1	CSTN1_HUMAN	O94985	CLSTN1	HGNC:17447	Calsyntenin-1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1165	PRDX4	PRDX4_HUMAN	Q13162	PRDX4	HGNC:17169	Peroxiredoxin-4	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1166	LAMB3	LAMB3_HUMAN	Q13751	LAMB3	HGNC:6490	Laminin subunit beta-3	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1167	LAMC2	LAMC2_HUMAN	Q13753	LAMC2	HGNC:6493	Laminin subunit gamma-2	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1168	LAMA3	LAMA3_HUMAN	Q16787	LAMA3	HGNC:6483	Laminin subunit alpha-3	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
1169	SERPINB5	SPB5_HUMAN	P36952	SERPINB5	HGNC:8949	Serpin B5	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1170	TXNDC17	TXD17_HUMAN	Q9BRA2	TXNDC17	HGNC:28218	Thioredoxin domain-containing protein 17	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1171	ALDH1A3	AL1A3_HUMAN	P47895	ALDH1A3	HGNC:409	Aldehyde dehydrogenase family 1 member A3	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1172	VIM	VIME_HUMAN	P08670	VIM	HGNC:12692	Vimentin	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1173	HSP90AB1	HS90B_HUMAN	P08238	HSP90AB1	HGNC:5258	Heat shock protein HSP 90-beta	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1174	HSPA9	GRP75_HUMAN	P38646	HSPA9	HGNC:5244	Stress-70 protein, mitochondrial	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1175	PRDX1	PRDX1_HUMAN	Q06830	PRDX1	HGNC:9352	Peroxiredoxin-1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1176	SERPINB1	ILEU_HUMAN	P30740	SERPINB1	HGNC:3311	Leukocyte elastase inhibitor	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1177	MYH9	MYH9_HUMAN	P35579	MYH9	HGNC:7579	Myosin-9	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1178	HSPA4	HSP74_HUMAN	P34932	HSPA4	HGNC:5237	Heat shock 70 kDa protein 4	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1179	PYGL	PYGL_HUMAN	P06737	PYGL	HGNC:9725	Glycogen phosphorylase, liver form	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1180	S100A11	S10AB_HUMAN	P31949	S100A11	HGNC:10488	Protein S100-A11	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1181	GSTP1	GSTP1_HUMAN	P09211	GSTP1	HGNC:4638	Glutathione S-transferase P	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1182	MIF	MIF_HUMAN	P14174	MIF	HGNC:7097	Macrophage migration inhibitory factor	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1183	SERPINB2	PAI2_HUMAN	P05120	SERPINB2	HGNC:8584	Plasminogen activator inhibitor 2	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1184	CLTC	CLH1_HUMAN	Q00610	CLTC	HGNC:2092	Clathrin heavy chain 1	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1185	S100A16	S10AG_HUMAN	Q96FQ6	S100A16	HGNC:20441	Protein S100-A16	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1186	HSPD1	CH60_HUMAN	P10809	HSPD1	HGNC:5261	60 kDa heat shock protein, mitochondrial	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1187	P4HB	PDIA1_HUMAN	P07237	P4HB	HGNC:8548	Protein disulfide-isomerase	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1188	PDIA6	PDIA6_HUMAN	Q15084	PDIA6	HGNC:30168	Protein disulfide-isomerase A6	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1189	S100A2	S10A2_HUMAN	P29034	S100A2	HGNC:10492	Protein S100-A2	Human	Protein	34857819	Homo sapiens				NHEK		Cell	UVA-radiation		60000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
1190	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	34946675	Homo sapiens				HaCaT		Cell	UVB-radiation		50	in vitro	No irradiation	24	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
1191	p53	P53_MOUSE	P02340	Tp53	MGI:98834	Cellular tumor antigen p53	Mouse	Protein	34946730	Mus musculus	HRM-2	Male	0.12		Skin	Tissue	UVB-radiation		44000	in vivo	No irradiation		Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
1192	MC1R	MSHR_MOUSE	Q01727	Mc1r	MGI:99456	Melanocyte-stimulating hormone receptor	Mouse	Protein	34946730	Mus musculus	HRM-2	Male	0.12		Skin	Tissue	UVB-radiation		44000	in vivo	No irradiation		Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
1193	MITF	MITF_MOUSE	Q08874	Mitf	MGI:104554	Microphthalmia-associated transcription factor	Mouse	Protein	34946730	Mus musculus	HRM-2	Male	0.12		Skin	Tissue	UVB-radiation		44000	in vivo	No irradiation		Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
1194	RAB32	RAB32_MOUSE	Q9CZE3	Rab32	MGI:1915094	Ras-related protein Rab-32	Mouse	Protein	34946730	Mus musculus	HRM-2	Male	0.12		Skin	Tissue	UVB-radiation		44000	in vivo	No irradiation		Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
1195	RAB27a	RB27A_MOUSE	Q9ERI2	Rab27a	MGI:1861441	Ras-related protein Rab-27A	Mouse	Protein	34946730	Mus musculus	HRM-2	Male	0.12		Skin	Tissue	UVB-radiation		44000	in vivo	No irradiation		Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
1196	IL-8	IL8_HUMAN	P10145	CXCL8	HGNC:6025	Interleukin-8	Human	Protein	34950767	Homo sapiens				HaCaT		Cell	UVB-radiation		200	in vitro	No irradiation	4	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
1197	IL-8	IL8_HUMAN	P10145	CXCL8	HGNC:6025	Interleukin-8	Human	Protein	34950767	Homo sapiens				HaCaT		Cell	UVB-radiation		400	in vitro	No irradiation	4	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
1198	IL-8	IL8_HUMAN	P10145	CXCL8	HGNC:6025	Interleukin-8	Human	Protein	34950767	Homo sapiens				HaCaT		Cell	UVB-radiation		600	in vitro	No irradiation	4	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
1199	IL-8	IL8_HUMAN	P10145	CXCL8	HGNC:6025	Interleukin-8	Human	Protein	34950767	Homo sapiens				HaCaT		Cell	UVB-radiation		1000	in vitro	No irradiation	4	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
1200	IκBa	IKBA_MOUSE	Q9Z1E3	Nfkbia	MGI:104741	NF-kappa-B inhibitor alpha	Mouse	Protein	34998560	Mus musculus	Skh: HR-a	Male	0.15	Skin		Tissue	UVB-radiation		51750	in vivo	No irradiation		Proteomics	Western blot	Down	skin of body	UBERON_0002097	Uberon Ontology	
1201	HMGB1	HMGB1_HUMAN	P09429	HMGB1	HGNC:4983	High mobility group protein B1	Human	Protein	35014730	Homo sapiens				Human neonatal keratinocytes		Cell	UVB-radiation		60	in vitro	No irradiation	24	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
1202	Caspase3	CASP3_HUMAN	P42574	CASP3	HGNC:1504	Caspase-3	Human	Protein	35028009	Homo sapiens				HaCaT		Cell	UVB-radiation		500	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
1203	IL-6	IL6_HUMAN	P05231	IL6	HGNC:6018	Interleukin-6	Human	Protein	35028009	Homo sapiens				HaCaT		Cell	UVB-radiation		500	in vitro	No irradiation		Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
1204	COX-2	COX2_HUMAN	P00403	MT-CO2	HGNC:7421	Cytochrome c oxidase subunit 2	Human	Protein	35028009	Homo sapiens				HaCaT		Cell	UVB-radiation		500	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
1205	Caspase3	CASP3_MOUSE	P70677	Casp3	MGI:107739	Caspase-3	Mouse	Protein	35028009	Mus musculus	ICR	Male	0.1- 0.12		Skin	Tissue	UVB-radiation		3600	in vivo	No irradiation		Proteomics	Western blot	Up	skin of body	UBERON_0002097	Uberon Ontology	
1206	MMP-9	MMP9_MOUSE	P41245	Mmp9	MGI:97011	Matrix metalloproteinase-9	Mouse	Protein	35028009	Mus musculus	ICR	Male	0.1- 0.12		Skin	Tissue	UVB-radiation		3600	in vivo	No irradiation		Proteomics	Western blot	Up	skin of body	UBERON_0002097	Uberon Ontology	
1207	COX-2	COX2_MOUSE	P00405	Mtco2	MGI:102503	Cytochrome c oxidase subunit 2	Mouse	Protein	35028009	Mus musculus	ICR	Male	0.1- 0.12		Skin	Tissue	UVB-radiation		3600	in vivo	No irradiation		Proteomics	Western blot	Up	skin of body	UBERON_0002097	Uberon Ontology	
1208	Bcl‑2	BCL2_HUMAN	P10415	BCL2	HGNC:990	Apoptosis regulator Bcl-2	Human	Protein	35039875	Homo sapiens				HLE B‑3 cells (human lens epithelial B‑3)		Cell	UVB-radiation	2.5	300	in vitro	No irradiation	24	Proteomics	Western blot	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1209	Bax	BAX_HUMAN	Q07812	BAX	HGNC:959	Apoptosis regulator BAX	Human	Protein	35039875	Homo sapiens				HLE B‑3 cells (human lens epithelial B‑3)		Cell	UVB-radiation	2.5	300	in vitro	No irradiation	24	Proteomics	Western blot	Up	lens epithelial cell	CL_0002224	Cell Ontology	
1210	Caspase‑3	CASP3_HUMAN	P42574	CASP3	HGNC:1504	Caspase-3	Human	Protein	35039875	Homo sapiens				HLE B‑3 cells (human lens epithelial B‑3)		Cell	UVB-radiation	2.5	300	in vitro	No irradiation	24	Proteomics	Western blot	Up	lens epithelial cell	CL_0002224	Cell Ontology	
1211	IL-6	IL6_MOUSE	P08505	Il6	MGI:96559	Interleukin-6	Mouse	Protein	35126108	Mus musculus	SKH-1	Male			Skin	Tissue	UVB-radiation		77000	in vivo	No irradiation		Proteomics	ELISA	Up	skin of body	UBERON_0002097	Uberon Ontology	
1212	TGF-β1	TGFB1_MOUSE	P04202	Tgfb1	MGI:98725	Transforming growth factor beta-1 proprotein	Mouse	Protein	35126108	Mus musculus	SKH-1	Male			Skin	Tissue	UVB-radiation		77000	in vivo	No irradiation		Proteomics	Western blot	Down	skin of body	UBERON_0002097	Uberon Ontology	
1213	TGF-β1	TGFB1_MOUSE	P04202	Tgfb1	MGI:98725	Transforming growth factor beta-1 proprotein	Mouse	Protein	35126108	Mus musculus	SKH-1	Male			Skin	Tissue	UVB-radiation		77000	in vivo	No irradiation		Proteomics	ELISA	Down	skin of body	UBERON_0002097	Uberon Ontology	
1214	IL-6	IL6_HUMAN	P05231	IL6	HGNC:6018	Interleukin-6	Human	Protein	35126108	Homo sapiens				HaCaT		Cell	UVB-radiation		800	in vitro	No irradiation	24	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
1215	TGF-β1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	35126108	Homo sapiens				Human skin fibroblasts (HSF cells)		Cell	UVB-radiation		800	in vitro	No irradiation	24	Proteomics	ELISA	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
1216	TGF-β1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	35126108	Homo sapiens				Human skin fibroblasts (HSF cells)		Cell	UVB-radiation		800	in vitro	No irradiation	24	Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
1217	CD4	CD4_MOUSE	P06332	Cd4	MGI:88335	T-cell surface glycoprotein CD4	Mouse	Protein	35126129	Mus musculus	BALB/c	Female	0.1	Cornea	Eye	Tissue	UVB-radiation		21.04	in vivo	No irradiation	72	Proteomics	Immunofluorescence Assay	Up	cornea	UBERON_0000964	Uberon Ontology	
